variant,N,m_max,trial,P1_s,P2_s,P3_s,total_s,global_MB,rounds,rev,timestamp
hybrid_batcher_sort,2048,3,2,2.07141,0.0110396,37.2565,39.3444,15264.6,251329,3fec8a9,2026-08-24T11:21:18Z
hybrid_batcher_sort,2048,3,3,1.99014,0.0112288,35.2427,37.2482,15264.6,251329,3fec8a9,2026-08-24T11:21:55Z
hybrid_batcher_sort,2048,3,4,2.15992,0.0120728,39.1344,41.3107,15264.6,251329,3fec8a9,2026-08-24T11:22:37Z
hybrid_batcher_sort,2048,3,5,2.19556,0.0120928,39.3445,41.5566,15264.6,251329,3fec8a9,2026-08-24T11:23:18Z
ab_queue,2048,3,1,0.942679,0.656794,1.86052,3.46612,81.5177,283861,3fec8a9,2026-08-24T11:23:22Z
ab_queue,2048,3,2,0.960984,0.704331,2.00757,3.67717,81.5177,283861,3fec8a9,2026-08-24T11:23:26Z
ab_queue,2048,3,3,0.963731,0.699036,1.90958,3.57858,81.5177,283861,3fec8a9,2026-08-24T11:23:30Z
ab_queue,2048,3,4,0.92559,0.639503,1.82659,3.39778,81.5177,283861,3fec8a9,2026-08-24T11:23:33Z
ab_queue,2048,3,5,0.9464,0.700954,2.00096,3.65249,81.5177,283861,3fec8a9,2026-08-24T11:23:37Z
ab_partial_select,2048,3,1,0.950312,0.689371,1.83085,3.4782,82.2121,283621,3fec8a9,2026-08-24T11:23:41Z
ab_partial_select,2048,3,2,0.938005,0.671419,1.85139,3.46729,82.2121,283621,3fec8a9,2026-08-24T11:23:44Z
ab_partial_select,2048,3,3,0.981659,0.74312,2.09326,3.82377,82.2121,283621,3fec8a9,2026-08-24T11:23:48Z
ab_partial_select,2048,3,4,0.940522,0.682456,1.97996,3.60691,82.2121,283621,3fec8a9,2026-08-24T11:23:53Z
ab_partial_select,2048,3,5,0.912142,0.645513,1.84861,3.41195,82.2121,283621,3fec8a9,2026-08-24T11:23:57Z
ab_batcher_sort,2048,3,1,0.949053,0.683806,6.35375,7.99045,186.283,583724,3fec8a9,2026-08-24T11:24:06Z
ab_batcher_sort,2048,3,2,0.933895,0.689512,6.48795,8.11542,186.283,583724,3fec8a9,2026-08-24T11:24:15Z
ab_batcher_sort,2048,3,3,0.945414,0.690833,6.23564,7.87722,186.283,583724,3fec8a9,2026-08-24T11:24:23Z
ab_batcher_sort,2048,3,4,0.860325,0.633677,6.38589,7.88572,186.283,583724,3fec8a9,2026-08-24T11:24:31Z
ab_batcher_sort,2048,3,5,0.885354,0.656252,5.97279,7.518,186.283,583724,3fec8a9,2026-08-24T11:24:38Z
hybrid_queue,8192,3,1,7.86587,0.0514084,32.1101,40.0419,12620,1055393,3fec8a9,2026-08-24T11:25:19Z
hybrid_queue,8192,3,2,8.42317,0.0574455,35.7284,44.2248,12620,1055393,3fec8a9,2026-08-24T11:26:03Z
hybrid_queue,8192,3,3,8.06305,0.0573991,31.9913,40.126,12620,1055393,3fec8a9,2026-08-24T11:26:43Z
hybrid_queue,8192,3,4,7.77946,0.0507337,31.4339,39.2787,12620,1055393,3fec8a9,2026-08-24T11:27:23Z
hybrid_queue,8192,3,5,7.65276,0.0503938,30.6253,38.3426,12620,1055393,3fec8a9,2026-08-24T11:28:01Z
hybrid_partial_select,8192,3,1,7.66327,0.0502398,30.6855,38.4085,12615.8,1055105,3fec8a9,2026-08-24T11:28:40Z
hybrid_partial_select,8192,3,2,7.87106,0.0540101,30.8497,38.7842,12615.8,1055105,3fec8a9,2026-08-24T11:29:19Z
hybrid_partial_select,8192,3,3,7.72447,0.0494804,30.8692,38.653,12615.8,1055105,3fec8a9,2026-08-24T11:29:58Z
hybrid_partial_select,8192,3,4,7.66388,0.0509772,31.0925,38.817,12615.8,1055105,3fec8a9,2026-08-24T11:30:36Z
hybrid_partial_select,8192,3,5,7.71374,0.0504108,31.1227,38.8971,12615.8,1055105,3fec8a9,2026-08-24T11:31:15Z
hybrid_batcher_sort,8192,3,1,7.92972,0.0503525,198.53,206.52,84798.8,1306668,3fec8a9,2026-08-24T11:34:44Z
hybrid_batcher_sort,8192,3,2,7.72021,0.0505989,195.505,203.285,84798.8,1306668,3fec8a9,2026-08-24T11:38:07Z
hybrid_batcher_sort,8192,3,3,7.75989,0.0507191,194.945,202.765,84798.8,1306668,3fec8a9,2026-08-24T11:41:30Z
hybrid_batcher_sort,8192,3,4,7.62058,0.0497471,191.855,199.535,84798.8,1306668,3fec8a9,2026-08-24T11:44:50Z
hybrid_batcher_sort,8192,3,5,7.32419,0.0497068,188.291,195.674,84798.8,1306668,3fec8a9,2026-08-24T11:48:06Z
ab_queue,8192,3,1,3.25318,2.44665,6.93974,12.6479,316.04,1134876,3fec8a9,2026-08-24T11:48:19Z
ab_queue,8192,3,2,3.21792,2.42777,7.00216,12.6569,316.04,1134876,3fec8a9,2026-08-24T11:48:32Z
ab_queue,8192,3,3,3.20719,2.44868,6.94732,12.6126,316.04,1134876,3fec8a9,2026-08-24T11:48:44Z
ab_queue,8192,3,4,3.21989,2.4906,7.06614,12.7857,316.04,1134876,3fec8a9,2026-08-24T11:48:57Z
